name,P,C,G,N,I,I3,J,Mass,Nk,Ik,I3k,Jk,Mk,u,ubar,d,dbar,s,sbar,c,cbar,b,bbar,split,pdgid,archived_width_mev,width_error_positive_mev,width_error_negative_mev,label_type,record_role,alias_of
D_s0^*(2317)+,1,2,2,1.71716370160958,0,0,0,2.317773096,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,val1,M172,3.80000000101711,0,0,upper_limit,main,
D_s0^*(2317)-,1,2,2,1.71716370160958,0,0,0,2.317773096,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,val1,M172,3.80000000101711,0,0,upper_limit,main,
D_s1(2460)+,1,2,2,1.82216461183989,0,0,1,2.459499994,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,val1,M173,3.49999999826621,0,0,upper_limit,main,
D_s1(2460)-,1,2,2,1.82216461183989,0,0,1,2.459499994,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,val1,M173,3.49999999826621,0,0,upper_limit,main,
chi_c1(3872),1,1,1,2.8683718089745,0,0,1,3.871637283,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,val1,M176,1.19288034319101,0.214461410150527,0.212127960926075,point,main,
psi(4230),0,0,0,3.12799448065263,0,0,1,4.22206773,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,val1,M074,48.7914450432332,7.2821291795283,7.14349957639901,point,main,
psi(4360),0,0,0,3.24057676773972,0,0,1,4.37402773,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,val1,M181,110.560311790186,12.0877402711335,12.3787690873952,point,main,
psi(4660),0,0,0,3.43861134297807,0,0,1,4.641328518,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,val1,M189,72.6095943731986,12.7110703743977,11.0582405414111,point,main,
eta(1405)0,0,1,1,1.04364638573371,0,0,0,1.408680787,1,1,1,1,1,0.408,0.408,0.408,0.408,0.816,0.816,0,0,0,0,val2,M027,51.7753386498591,2.46834827801418,2.56616053369315,point,main,
f_0(1370)0,1,1,1,1.00017167391132,0,0,0,1.35,1,1,1,1,1,0.707,0.707,0.707,0.707,0,0,0,0,0,0,val2,M147,351.287232037793,150,150,range,main,
f_0(1770)0,1,1,1,1.32183727417272,0,0,0,1.784174024,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,val2,M264,165.973648685636,20.7344863558122,21.2795017732895,range,main,
f_0(980)0,1,1,1,0.733459227534966,0,0,0,0.99,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,val2,M003,277.739524435755,45,45,range,main,
f_2(1640)0,1,1,1,1.21440531629622,0,0,2,1.639165775,1,1,1,1,1,0.707,0.707,0.707,0.707,0,0,0,0,0,0,val2,M117,105.70446808786,55.0072709658099,40.9999990454338,range,main,
f_2(1950)0,1,1,1,1.43446388886839,0,0,2,1.936193856,1,1,1,1,1,0.707,0.707,0.707,0.707,0,0,0,0,0,0,val2,M135,450.283609837103,24.2336083935201,23.8581751115929,point,main,
Bbar_s2^*(5840)0,1,2,2,4.32658089209209,0,0,2,5.839881649,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,val3,M186,1.48930907893498,0.266604795981634,0.266604795981634,point,main,
D_1(2420)+,1,2,2,1.79444260610421,0.5,0.5,1,2.42208171,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,val3,M253,31.3389199504513,1.93989376648817,1.93151199434055,point,main,
D_2(2740)+,0,2,2,2.03505343895028,0.5,0.5,2,2.74685058,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,val3,M228,88.4788732343689,19.4352180211727,19.4352180211727,point,main,
D_s0(2590)-,0,2,2,1.91958874600313,0,0,0,2.591,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,val3,M256,89.0000000238396,20,20,point,main,
D_s1^*(2860)-,0,2,2,2.11814134497219,0,0,1,2.859,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,val3,M196,158.999999964983,80.3616824114578,80.3616824114578,point,main,
