name,P,C,G,N,I,I3,J,Mass,Nk,Ik,I3k,Jk,Mk,u,ubar,d,dbar,s,sbar,c,cbar,b,bbar,width_mev,split
B+,0,2,2,3.91134246909403,0.5,0.5,0,5.279405997,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,4.018e-10,train
B-,0,2,2,3.91134246909403,0.5,-0.5,0,5.279405997,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,4.018e-10,train
B0,0,2,2,3.91157258859276,0.5,-0.5,0,5.279716605,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,4.339e-10,train
B_1(5721)+,1,2,2,4.24218320051202,0.5,0.5,1,5.725964322,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,31.1830587324879,train
B_1(5721)-,1,2,2,4.24218320051202,0.5,-0.5,1,5.725964322,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,31.1830587324879,train
B_1(5721)0,1,2,2,4.24230345226367,0.5,-0.5,1,5.726126634,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,27.4936708974362,train
B_2^*(5747)+,1,2,2,4.25054929280158,0.5,0.5,2,5.737256608,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,20.4283148840027,train
B_2^*(5747)-,1,2,2,4.25054929280158,0.5,-0.5,2,5.737256608,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,20.4283148840027,train
B_2^*(5747)0,1,2,2,4.2522740088395,0.5,-0.5,2,5.739584575,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,24.2225801214523,train
B_J(5840)+,2,2,2,4.33460816326192,0.5,0.5,-222,5.850716605,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,224.000000032471,train
B_J(5840)-,2,2,2,4.33460816326192,0.5,-0.5,-222,5.850716605,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,224.000000032471,train
B_J(5840)0,2,2,2,4.344009326549,0.5,0.5,-222,5.863405997,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,126.999999941759,train
